File Name,result0.01,result0.001,result0.01-2,result0.001-2
3ë²?2_Data_20240910_213026.csv,85.84249016,85.0691344,71.39605156,70.10834722
3ë²?3_Data_20240910_213851.csv,96.39003621,95.52165751,92.70639969,91.03434038
3ë²?4_Data_20240910_215002.csv,85.58289353,84.81187647,70.8715604,69.59331582
3ë²?5_Data_20240910_215927.csv,93.96639925,93.11985511,87.80966379,86.22592236
3ë²?6_Data_20240912_193228.csv,97.00517092,96.13125046,93.94922288,92.25474792
3ë²?7_Data_20240912_194034.csv,98.23367684,97.34868876,96.43130627,94.69206427
4ë²?1_Data_20240910_233403.csv,56.09182956,55.58649777,11.28757402,11.08399052
4ë²?2_Data_20240910_234318.csv,94.4654049,93.61436522,88.81785889,87.21593358
4ë²?3_Data_20240910_235045.csv,92.71414894,91.87888633,85.27960704,83.74149789
4ë²?4_Data_20240910_235755.csv,98.59489421,97.70665192,97.16111279,95.40870795
4ë²?5_Data_20240911_000440.csv,96.64228391,95.77163271,93.21604301,91.53479173
4ë²?6_Data_20240912_194716.csv,95.29889905,94.44035041,90.50185726,88.86955923
4ë²?7_Data_20240912_195539.csv,94.23272016,93.38377674,88.34774074,86.75429451
5ë²?1_Data_20240911_124658.csv,97.09231515,96.2176096,94.12528979,92.42763927
5ë²?2_Data_20240911_125507.csv,95.86580538,95.00214948,91.64723944,89.99428322
5ë²?3_Data_20240911_130351.csv,97.08698789,96.21233035,94.11452656,92.41707017
5ë²?4_Data_20240911_131314.csv,96.47666348,95.60750435,92.88142214,91.20620611
5ë²?5_Data_20240911_132118.csv,98.28753228,97.40205902,96.54011625,94.79891175
5ë²?6_Data_20240912_150146.csv,98.19713343,97.31247457,96.35747367,94.61956333
5ë²?7_Data_20240912_150848.csv,97.27892577,96.40253905,94.50231942,92.79786877
6ë²?1_Data_20240911_134852.csv,96.29532996,95.42780447,92.51505441,90.84644622
6ë²?2_Data_20240911_135620.csv,97.91439549,97.03228382,95.78622762,94.05862031
6ë²?3_Data_20240911_140315.csv,97.20494256,96.32922236,94.35284313,92.65108845
6ë²?4_Data_20240911_141034.csv,97.15594292,96.28066416,94.25384386,92.55387474
6ë²?5_Data_20240911_141635.csv,97.56447449,96.68551526,95.07924438,93.36438827
6ë²?6_Data_20240912_185457.csv,97.89702107,97.01506592,95.7511242,94.02415001
6ë²?7_Data_20240912_190131.csv,98.14785114,97.26363626,96.25790332,94.52178883
7ë²?1_Data_20240911_144607.csv,96.39720494,95.52876165,92.72088344,91.0485629
7ë²?2_Data_20240911_145348.csv,98.25243333,97.36727628,96.46920204,94.72927656
7ë²?3_Data_20240911_150136.csv,98.54873494,97.66090849,97.06785222,95.31712943
